title,is_onion
Australian man loses bullying-by-breaking wind court case,0
"""Act Cautiously,"" China Tells US After Its Move On Masood Azhar At UN",0
Internal Documents Show Apple Is Capable of Implementing Right to Repair Legislation,0
Daughter of immigrants helps refugees find their American dream,0
"India blew up its own helicopter while trying to target Pakistani jets, killing 7 – report",0
"Wow Air ceases operations, leaving passengers stranded | Business",0
The woman who doesn't feel pain,0
Berlin police carry out massive raids against organized crime,0
"""Paramedic"" caught on film attacking IDF soldiers during riot",0
"EU risks 'trade war' with Malaysia over palm oil: Malaysian PM. Dr Mahathir, 93, said the EU's increasingly hostile attitude towards palm oil, a commodity used in everything from chocolate spread to lipstick, was an attempt to protect alternatives that Europe produced itself, like rapeseed oil",0
'F*** knows. I'm past caring. It's like the living dead in here': Minister's verdict on Theresa May bringing back her Brexit deal - Despairing minister castigates prime minister's 'inability to engage in the most basic human interaction',0
'Invisible Man' Liu Bolin hides 20 people in legendary Chinese painting,0
Canadian family didn't think it was valuable. It's actually a pearl worth up to $90M and reportedly the worlds largest.,0
35-year Mystery of Garfield Novelty Telephones Washing Up on French Beach Finally Solved,0
"President Erdogan said Wednesday it was time to rename the landmark Hagia Sophia as a mosque, saying that it had been a ""very big mistake"" to convert it into a museum.",0
Indonesian police bust Komodo dragon traffickers,0
Egypt frees rights activist Abdel Fattah after 5 years in prison,0
HIV-positive woman donates kidney to HIV-positive recipient in world first,0
30-year-old spy Maria Butina will be sentenced in April for conspiring to infiltrate the NRA on behalf of Russia,0
Pope Francis enacts new legislation requiring Vatican officials to report abuse,0
"Stuck in a Syria Tent Camp, the Women and Children of ISIS Wait",0
MPs reject Theresa May's Brexit deal by 58 votes,0
"Population explosion fuelling rapid reduction of wildlife on African savannah, study shows - ‘Urgent need to rethink how we manage the boundaries of protected areas’, says international team of scientists",0
"New UN Global Climate report ‘another strong wake-up call’ over global warming: Guterres | “Don’t come with a speech, come with a plan,” he said, adding: “This is what science says is needed. It is what young people around the globe are rightfully demanding.”",0
Top South African University to vote on call for boycott of Israeli academic institutions.,0
EMA panel recommends approval of Bluebird Bio's first gene therapy,0
The Man Trying to Make Sense of Brexit Is Tired and Would Like to Stop Now,0
"AP FACT CHECK: Trump misleads on health care, Russia probe",0
B.C. poll suggests 'concerning' levels of belief in anti-vaccine conspiracy theories,0
Facebook removes online network in Philippines over 'inauthentic behavior',0
Iran welcomes Luxembourg court decision on U.S. seizure of Iranian assets,0
Theresa May’s Brexit Deal Is Rejected by U.K. Parliament,0
Google Backs Down Over Conversion Therapy App,0
Tiny Asian nation to punish gay sex and adultery with death by stoning,0
Royal wedding 'zombies' lose [ECHR] court case,0
"Smart Traveller, the Australian federal government's travel hotline, tells a gay couple concerned about their Brunei Airlines flight to ‘act straight’.",0
"EU financial stability is at elevated levels of risk the ERSB reports, main causes are noted to be rising global tensions, Brexit and the situation and uncertainty in Italy",0
A school in China is monitoring students with facial recognition technology that scans the classroom every 30 seconds,0
Brazil: Official who fined Bolsonaro for illegal fishing in 2012 is fired,0
Deutsche Bank turns over records on Donald Trump's business to Maxine Waters' committee,0
Enough MEPs Say They Mistakenly Voted For Articles 11 &amp; 13 That The Vote Should Have Flipped; EU Parliament Says Too Bad,0
"Spanish trucks fitted with cheat devices, fears of Dieselgate 2 surface",0
Philippine communist rebels mark 50th year with new attacks,0
LGBT+ people to be stoned or whipped to death in Brunei under new sex law,0
"Despite talk of returns, Turkey quietly works to integrate Syrian refugees",0
Syrian military: Israeli air attack targeted Aleppo,0
Bolton warns Russia over continued military presence in Venezuela,0
Parents separated from their kids returned to the U.S. to be reunited. They’ve been detained for almost a month.,0
Theresa Mays Brexit deal fails to pass a third time,0
"Puerto Rico governor slams Trump for relief funds comments: ""We are your citizens""",0
May LOSES Brexit vote by 344 to 286: PM hints at election as she admits she fears 'we are reaching the limits of the process' after failing to pass her deal despite Brexiteer climbdown,0
More than a quarter of people surveyed in Ebola-hit areas of the Democratic Republic of Congo told researchers they do not believe the disease exists. Scientists say this has been a factor in prolonging the outbreak,0
Antidepressant prescriptions in England double in a decade,0
Twitter and Google under scrutiny for housing discrimination,0
"Malham salt cave is world's longest, say researchers. The cavern, which extends over 6 miles (10km) underground, is believed to be even more extensive than Iran’s Namakdan cave, which was previously thought to be the longest salt cave.",0
Italy's coalition in row over sexual violence law,0
McConnell blocks resolution calling for release of Mueller report for second time,0
Trump threatens to close U.S. border with Mexico next week,0
"Migrants hijack tanker that rescued them, give up after Maltese troops board ship",0
"They Let a Sick Inmate Die in a Van. Now They Won’t Pay His Family $650,000.",0
Japan increased protection of U.S. military assets after 2016,0
Regent's Park stabbing: Mosque sealed off as police hunt attacker : London,0
Cayman Islands legalises same-sex marriage in historic ruling,0
"Record 1,100 Dead Dolphins Wash Up on French Shores This Year",0
Venezuela bars Guaido from holding public office for 15 years,0
'Why not give Israel North &amp; South Carolina?' Syrian envoy asks US at UN,0
"Romanian magistrate Laura Codruta Kovesi, a hot favorite to become the EU's first-ever top prosecutor, was indicted on corruption charges",0
Government Proposal to Ban Wearing Religious Symbols,0
UK local Council tells woman with mental illnesses she can 'cope' with sleeping rough,0
Egyptian actors expelled from union for Sisi criticism,0
Russia Stages Large-Scale Military Drills in Annexed Crimea,0
B.C. government granted $428K to group that spreads anti-vaccine claims,0
Mozambique cholera cases jump to 139 a day after outbreak,0
"Intel Republicans dismiss Mueller's intelligence findings before seeing them: But a year ago they concluded that the Trump campaign exercised “poor judgment,” “took ill-considered actions” and at times acted “inconsistent with U.S. national security interests.”",0
"UK parliament to debate Brexit on Friday, exact format unclear",0
11 dead as Somalia bomb blast hits restaurant at lunchtime,0
"Germany's far-left Die Linke party demanded Friday that parliament vote to expel the controversial US ambassador Richard Grenell, a close confidant of President Donald Trump.",0
A tax on a tax: U.S. customs demands bigger bonds as trade tariffs rise,0
Global seed vault 'Doomsday vault' threatened by climate change,0
Trump Absurdly Claims He Has ‘Taken Better Care Of Puerto Rico Than Any Man Ever’,0
Mexico Asked Spain to Apologize for Its Conquest. Spain Said No.,0
"NORAD: Indian ASAT test poses no threat to ISS, other satellites.",0
UK:Royal wedding 'zombies' lose court case,0
WOW airline shuts down and ceases all flights.,0
Britain's oldest men turn 111 years old,0
Former Facebook exec: ‘Zuckerberg is sitting on more data about what people want to do online than anyone else in the world,0
Trade optimism helps Wall Street bounce on last day of quarter,0
Nicolas Cage files for annulment 4 days after getting married: report,0
"Mexican President Andres Manuel Lopez Obrador said on Thursday tackling illegal immigration is an issue chiefly for the United States and Central America to address, as a senior Mexican official called U.S. policy on migration “bipolar.”",0
Pope signs new law to prevent child abuse at Vatican HQ and embassies,0
"Misuse of investor funds - 21 Million made a loan of funds to Chainstarter, the ICO advisory company that Mr. Ayton and Mr. Lofts were also co-founders of",0
"Google is an unlikely messenger between Trump and Cuba, insider says",0
Boeing faces US lawsuit over Ethiopian Airlines crash,0
PA Ministry of Education names sports event for girls after terrorist murderer who led killing of 37,0
Independent Group's plans to register as Change UK party angers petitions site,0
"South Africa: Human Rights commission finds that the EFF's leader, Julius Malema's, comments ""Kill the Boer"" do not constitute hate speech",0
Huawei shrugs off US clampdown with a $US100b year,0
"Extreme weather affected 62 million people last year, UN climate change report says | ""I'm telling leaders, don't come with a speech, come with a plan,"" Guterres said",0
U.S. Energy Secretary Rick Perry has approved six secret authorizations by companies to sell nuclear power technology and assistance to Saudi Arabia.,0
Rare tiger cubs make debut at Sydney Zoo,0
"Brexit day is here but Britain isn't leaving the EU, at least not yet",0
"A month after Indian air strike, Pakistan army takes team of journalists to Balakot",0
EU bans widely used pesticide over safety concerns. Officials say chlorothalonil poses high risk to wildlife and may potentially harm humans,0
"Canada clearcuts one million acres of boreal forest every year, 40 million acres total between 2001 and 2017",0
US to offer India alternative to Russian S-400 missile defence system,0
Brexit at a crossroads: May puts her deal to 'last chance' vote in parliament,0
"Sources to CNN: During Puerto Rico visit, Trump talked about using nuclear football on North Korea",0
Car bomb blast 'kills 15' in Somalia's Mogadishu,0
"Trump’s Inaccurate Claims on Mueller, Health Care and the Great Lakes",0
Killer robots: Scientists concerned over ethics of military AI,0
Antarctic project to drill for oldest-ever ice core,0
"Astronomers spot a stormy super-Jupiter exoplanet that's 1,800°F (980°C) and has an atmosphere that's almost primarily made of carbon monoxide scattered with clouds of iron and silicate dust.",0
Gambian ex-president ‘stole almost $1bn before fleeing country’,0
Gazans have paid in blood for a year of protests. Now many wonder what it was for.,0
Special forces seize tanker hijacked by migrants in the Mediterranean Sea,0
"Mueller report, nearly 400 pages, to be released by mid-April",0
Mueller report exceeds 300 pages raising questions about four page summary,0
Ukraine election: will voter anger propel TV comic to presidency?,0
UK:In-work poverty hits 2.9 million children,0
"Tunisia says to coordinate Arab response to U.S. move on Israel, Golan",0
Austrian Chancellor Sebastian Kurz says we can now confirm that there was financial support and a connection between the New Zealand attacker and identitarian movement in Austria.,0
Swedbank chief sacked amid money laundering scandal,0
Secret recording by Jody Wilson-Raybould of SNC-Lavalin talks expected to be made public,0
"North Korea has almost completed rebuilding a long-range rocket site it had promised to close, Seoul lawmakers told reporters Friday after a closed-door meeting with South Korean intelligence officials",0
Poland advocates for a long Brexit delay if deal not passed: PM,0
"Canings, Electrocutions, Waterboarding and Sexual Assault: Saudi Women’s Rights Activists Released After Detailing Abuses in Court",0
Maduro's government bars Guaido from public office for 15 years,0
"Nazi-era mass grave site to become luxury homes in Belarus: In the Belarusian city of Brest, construction work unearthed the remains of over 1,000 Jews killed during World War II. But instead of a memorial, the spot will be a high-end apartment complex",0
International Red Cross says it will channel aid to Venezuela,0
El Chapo's family hopes to fashion a clothing line with drug lord's brand,0
Saudi Arabia cites UN job application as evidence against rights activist,0
Brexit: May at risk of fresh defeat as MPs debate withdrawal agreement for third time - live news,0
Israel said to offer Hamas numerous concessions in return for curbing violence,0
"U.S. has hit ‘breaking point’ at border amid immigration surge, Customs and Border Protection chief says",0
The new scramble for Africa,0
"UK, US and Russia among those opposing killer robot ban",0
EU Commission says no-deal Brexit on April 12 'likely',0
"Saudi women activists detained for almost a year offered their defence at an emotionally charged hearing on Wednesday, alleging torture and sexual harassment during interrogation",0
Brick kiln owner held for ‘making Dalit labourer eat human excreta’,0
Cesc Fabregas - My role in Pizzagate (beIN interview),0
Kiwis targeted in US pro-gun social media harassment campaign on Twitter,0
Indian air defence may have shot down IAF Mi-17 helicopter | The Express Tribune,0
The Lost History of One of the World's Strangest Scientific Experiments,0
He loves them both: Trump praises ‘nice lady’ Theresa May and ‘old friend’ Boris Johnson locked in UK leadership battle,0
Mali arrests five suspects in killing of 157 villagers,0
Hamas pulls back protesters in exchange for aid,0
New Bill Would Finally Stop NSA’s Mass Collection of U.S. Phone Data,0
"World’s largest ivory seizure: over nine tonnes of ivory seized in Da Nang, Vietnam in a container shipment from the Republic of Congo",0
Egyptian pro-democracy activist free after 5 years in prison,0
Barr to release redacted copy of Mueller report in mid-april,0
"US says it won't rule out nuclear first strike, because allies wouldn't trust it otherwise",0
Leaked emails reveal Facebook's intense internal discussion over Alex Jones' 'anti-Semitic' post on Instagram,0
Jeremey Corbyn calls for a general election as Mays Brexit deal fails to pass a third time,0
Lyft to debut on Nasdaq Friday with $20B valuation,0
Woman brain dead since December gives birth,0
Bannon-linked group is planning a summit to rally nationalists. But it's not quite going to plan,0
Russia confirms its military personnel are in Venezuela,0
George Clooney calls for hotels boycott over Brunei's LGBT laws,0
European Parliament votes to ban single-use plastics,0
Violence in Mexico: Juárez police officer killed in shooting,0
French consulate employee convicted of smuggling weapons from Gaza,0
"EU on track for 50% emission cuts by 2030, study says",0
Saudi women activists appear in court on 'human rights-related' charges,0
Sydney Airport grounds flights after smoke detected at air traffic control tower,0
Pentagon warns nations not to 'make it a mess' in space as U.S. studies India anti-satellite weapon test,0
Salman Al-dossary - Refraining from Standing Againt Hezbollah is the Real Danger,0
Iran: “Animals Should Not Be Exploited for Recreational Purposes” - Takes strong stance against exploiting animals for entertainment &amp; ban the construction of aquariums that cruelly confine dolphins.,0
Australian Prime Minister Scott Morrison has announced the Liberals will preference One Nation below the Labor Party at the federal election. The commitment comes after an Al Jazeera investigation revealed One Nation tried to solicit millions of dollars in donations from a US gun lobby last year.,0
Facebook beefs up political ad rules ahead of EU election,0
RAF jets scrambled to Russian military aircraft off Scotland - BBC News,0
"Saturn's small, multi-colored moons formed from dust in Saturn's rings — and the rings themselves are the shredded remains of Saturn's previous small moons.",0
Brexit Vote Live Updates: U.K. Parliament to Vote on Theresa May’s Deal,0
Gaza braces for anniversary of demonstrations at frontier wth Israel,0
Wife of ex-Interpol president dismisses allegations,0
Investigation reveals Indian missile shot down its own Mi17 V5 chopper during the India-Pakistan standoff,0
"Woman feels no pain because of rare gene mutation, study says",0
"Trudeau now has a lower approval rating than Trump, with Tories way ahead: Ipsos poll",0
Synthetic alcohol that doesn't cause hangovers or liver damage may be available in five years,0
Spain refuses to apologise for conquering Mexico five hundred years ago,0
Poland is ready to agree on another Brexit delay: PM,0
"Huawei accelerates, tops $100 billion revenue for first time, despite Trump's trade war",0
Buffett on the economy: 'It looks like things have slowed down',0
"Ocean heat hit a record high in 2018, the United Nations said Thursday, raising urgent new concerns about the threat global warming is posing to marine life",0
Anti-Pyongyang group vows to rock Kim regime with comrades inside North Korea,0
Venezuelans search for water as new blackouts hit nationwide,0
Saudi Arabia cites UN job application as evidence against female rights activist Loujain al-Hathloul,0
Boris Johnson backs May's Brexit agreement ahead of key vote,0
Pope seeks to build on Muslim outreach with Morocco trip,0
"Mueller Report Exceeds 300 Pages, Raising Questions About Four-Page Summary",0
'I want snow for Christmas:' Students demand climate action,0
"Myanmar: Invest here, please. Don’t mind the insurgents.",0
Death knell for May's Brexit deal as lawmakers reject it by 286 to 344,0
"Woman feels no pain due to rare gene mutation, researchers say",0
Theresa May is under intense pressure to announce her resignation plans today,0
BBC agrees to pay damages to Ukrainian President Petro Poroshenko over 'incorrect report',0
"Chinese men tricked out of US$119,000 by crime gang’s sob story about woman forced into marriage; 30 detained - Asean+ | The Star Online",0
Slovak lawmakers reject international women’s rights treaty,0
Climate change impacts accelerating: WMO report,0
"More needs to be done to carry out sustainability goals, says former UN chief Ban Ki Moon",0
Canadian hunters want to club tens of thousands more baby seals to death in cull expansion - Groups trading in animals’ fur lobby for wider slaughter – including in a nature reserve,0
Erdogan says museum and former cathedral will become a mosque,0
City air pollution 'link to teen paranoia',0
Trump declares 'collusion delusion over',0
"Hindu girl allegedly abducted in Badin village, 'spouse' claims she has embraced Islam",0
Puerto Ricans struggle to buy food amid funding shortfall,0
The cartoonists who helped take down a Malaysian prime minister,0
Denmark to deny citizenship to children of Islamic State members,0
Iranian fuel oil cargo sits off Malaysia as U.S. urges sanctions compliance,0
Algerian state TV head sacked after censorship protests,0
